Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
526500.0,178940.0,-0.179115,51.495204,1,2,2,1,2005-07-08,6,13:01:00,12,E09000020,3,4,3,30,6,2,5,0,0,0,1,1,1,0,0,1,1,E01002835
526580.0,177280.0,-0.178558,51.480267,1,2,1,1,2005-07-10,1,15:50:00,12,E09000020,3,3220,2,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01002840
526360.0,177420.0,-0.181674,51.481575,1,2,2,1,2005-07-08,6,09:43:00,12,E09000020,3,3217,6,30,6,2,3,3220,0,5,1,1,1,0,0,1,1,E01002913
527060.0,179690.0,-0.170782,51.501819,1,2,2,1,2005-06-17,6,18:50:00,1,E09000033,3,315,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004692
526090.0,177600.0,-0.185496,51.483253,1,2,2,1,2005-07-21,5,17:45:00,12,E09000020,3,3220,3,30,6,2,3,308,0,0,1,1,1,0,0,1,1,E01002912
528100.0,178740.0,-0.156151,51.493046,1,2,2,1,2005-07-21,5,16:13:00,12,E09000020,3,3217,6,30,3,4,3,3217,0,1,1,1,1,0,0,1,1,E01002859
523910.0,179890.0,-0.216072,51.504315,1,2,2,1,2005-07-14,5,10:20:00,11,E09000013,3,3220,1,30,1,2,3,402,0,0,1,1,1,0,0,1,1,E01002869
527030.0,179020.0,-0.171455,51.495804,1,2,2,1,2005-07-27,4,21:16:00,12,E09000020,3,4,3,30,3,4,3,4,0,0,4,2,2,0,0,1,1,E01002821
524390.0,180100.0,-0.209086,51.506097,1,2,2,1,2005-07-20,4,23:00:00,12,E09000020,3,402,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002868
525480.0,179530.0,-0.193591,51.500733,1,2,2,1,2005-07-21,5,12:30:00,12,E09000020,3,315,3,30,3,4,5,0,0,4,1,1,1,0,0,1,1,E01002816
